,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
71,Guinea,36540.0,441.0,0.0,1.206896551724138,GIN,13132792.0,9.9456,-9.6966,Africa,2782.3481861282808,36502.0,440.0,38.0,1.0,36459.0,440.0,81.0,1.0
72,Guinea-Bissau,8185.0,171.0,0.0,2.089187538179597,GNB,1967998.0,11.8037,-15.1804,Africa,4159.048942122909,8176.0,170.0,9.0,1.0,8131.0,169.0,54.0,2.0
73,Guyana,63413.0,1228.0,0.0,1.9365114408717456,GUY,786559.0,4.860416,-58.93018,South America,80620.77987792397,63368.0,1228.0,45.0,0.0,63232.0,1226.0,181.0,2.0
74,Haiti,30640.0,835.0,0.0,2.7251958224543085,HTI,11402533.0,18.9712,-72.2852,North America,2687.1222385412084,30594.0,835.0,46.0,0.0,30511.0,827.0,129.0,8.0
75,Holy See,29.0,0.0,0.0,0.0,VAT,809.0,41.9029,12.4534,Europe,35846.72435105068,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
76,Honduras,422275.0,10892.0,0.0,2.579361790302528,HND,9904608.0,15.2,-86.2419,North America,42634.19612366285,421268.0,10888.0,1007.0,4.0,420621.0,10871.0,1654.0,21.0
77,Hungary,1890953.0,46048.0,0.0,2.435174221675526,HUN,9660350.0,47.1625,19.5033,Europe,195743.73599300234,1879480.0,45865.0,11473.0,183.0,1839358.0,45258.0,51595.0,790.0
78,Iceland,185074.0,114.0,0.0,0.06159698282849022,ISL,341250.0,64.9631,-19.0208,Europe,542341.391941392,183974.0,110.0,1100.0,4.0,178385.0,97.0,6689.0,17.0
79,India,43057545.0,522193.0,0.0,1.2127793166098997,IND,1380004385.0,20.593684,78.96288,Asia,31201.020422844525,43042097.0,521751.0,15448.0,442.0,43019453.0,521004.0,38092.0,1189.0
80,Indonesia,6043768.0,156067.0,0.0,2.5822797963124993,IDN,273523621.0,-0.7893,113.9213,Asia,22095.96369740952,6039266.0,155844.0,4502.0,223.0,5986830.0,154343.0,56938.0,1724.0
81,Iran,7215512.0,140952.0,0.0,1.9534580498237688,IRN,83992953.0,32.427908,53.688046,Asia,85906.15929410173,7205064.0,140800.0,10448.0,152.0,7148789.0,139971.0,66723.0,981.0
82,Iraq,2324141.0,25204.0,0.0,1.0844436718770505,IRQ,40222503.0,33.223191,43.679291,Asia,57782.10769230348,2323040.0,25198.0,1101.0,6.0,2317747.0,25149.0,6394.0,55.0
